,number,tic,class_end,webpagedate,classification,Accounting,Secondary Market & Trading,Financial Intermediatary,Non-Accounting disclsoure and misrepresentation,Others,settle_date,cret,car,bhar,ceyr,styr,setp_sum,gc_opinion_sum,month,gap,lgap,year,gvkey,date,fyear_st,at_st,capx_st,ceq_st,dltt_st,dp_st,dt_st,ebit_st,optrfr_st,setp_st,txpd_st,wcap,xintd_st,mkvalt_st,sic,f_month,wcap_1_st,dwcap_st,fcf_st,size_st,debtratio_st,m2b_st,gc_opinion,fyear_ce,at_ce,capx_ce,ceq_ce,dltt_ce,dp_ce,dt_ce,ebit_ce,optrfr_ce,setp_ce,txpd_ce,wcap_ce,xintd_ce,mkvalt_ce,wcap_1_ce,dwcap_ce,fcf_ce,size_ce,debtratio_ce,m2b_ce,at_log_ce,at_log_st,prc,vol,shrout,vwretd,sprtrn,vt,share turnover,news_st,news_ce,news_winner_st,news_winner_ce
0,100459,MCK,4/27/1999,5/14/2013,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2/11/2005,4.00891576,5.39437154,5.40239671,1999,2005,-489.0,0.0,2,70.56666666666666,7.6577554,2005,7171,3/31/2005,2004,9.840281476632336,139.9,5275.1,1201.7,135.1,7.098788776378113,6.887858647267681,4.2,-160.0,131.7,3244.0,0.0,11298.575,5122,3,3548.1,-8.4,6.747821241065812,9.332431891,0.064474035,0.601788282,0.0,2000.0,9.114005667525669,250.7,2881.8,1141.1,173.4,7.197734710482601,5.684599655239428,0.0,0.0,175.8,1699.4,0.0,18518.543999999998,1527.8,171.6,0.0,9.826527887000001,0.147154686,2.0391279069999997,9.114005667999999,9.840281477000001,36.34,1478400,293916,0.007828,0.006926000000000001,230635600,6.665300242609151,6.0,11.0,1,0
1,100958,FLR,2/18/1997,6/29/2005,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,3/29/2005,-0.17617779999999997,-2.0626578999999996,-2.2060068,1997,2005,1.6,0.0,3,85.16666666666667,7.8458076,2005,4818,12/31/2005,2005,8.42824065887538,213.207,1630.558,92.023,104.124,6.04505981492048,5.716715152567922,0.0,-11.6,114.804,768.887,0.0,6728.4189,1600,12,959.3330000000001,-190.446,5.6001390025535365,8.814095462000001,0.09225665599999999,1.470871089,0.0,2000.0,8.454858107593353,466.202,1741.05,303.508,248.35299999999998,0.0,5.571168756078117,0.0,0.0,75.967,235.202,0.0,17.2469,151.255,83.947,0.0,2.847632417,0.0,0.01553389,8.454858108,8.428240659,53.63,1194500,83797,-0.008086,-0.0075959999999999995,76443400,6.815908669327706,4.0,17.0,1,1
2,101268,PSSI,5/8/1998,12/20/2005,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,10/19/2005,10.99601637,14.37109063,14.54211576,1998,2005,8.1,0.0,10,85.16666666666667,7.8458076,2005,30161,3/31/2005,2004,6.471353529848378,25.930999999999997,276.818,150.0,18.778,5.0106352940962555,4.076842287085959,3.63,2.5,1.969,228.583,0.0,738.6179,5047,3,220.347,8.236,3.728124205439837,6.6047807370000005,0.232069534,1.14273808,0.0,2000.0,6.611208699290637,24.774,416.56,152.442,12.209000000000001,5.0337266253196535,4.482595689595577,0.0,0.0,18.192,355.277,0.0,623.8898,384.13300000000004,-28.855999999999998,4.46087247253826,6.43597375,0.206494382,0.839259814,6.611208699,6.47135353,12.93,465782,65956,0.014072999999999999,0.014956,56449059,6.752106046752557,7.0,8.0,1,0
3,101412,BMY,4/19/2000,5/11/2006,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,3/2/2006,0.13112203,-2.5025377,-2.5892979,2000,2006,-489.0,0.0,3,71.43333333333334,7.6699619000000006,2006,2403,12/31/2006,2006,10.149370590819828,785.0,9991.0,7248.0,927.0,8.888480847722816,7.893572073504902,4.6,-160.0,718.0,3244.0,0.0,38762.8366,2834,12,3548.1,-783.0,8.207401833376355,10.56521725,0.28340176,2.024298729,0.0,2000.0,9.77440339912459,589.0,9180.0,1336.0,746.0,7.204892510204673,8.001019961323651,0.0,0.0,608.0,3073.0,0.0,28139.37,3098.0,462.0,7.472500744737558,10.24492494,0.07657298900000001,3.6003897639999995,9.774403399,10.14937059,22.75,5165400,1373479,-0.00044500000000000003,-0.001626,1003917800,6.240497528394499,25.0,41.0,1,1
4,101450,PRGX,3/29/2000,5/31/2005,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2/8/2005,-12.7541605,-3.5248443,-3.4619709000000003,2000,2005,0.0,1.0,2,59.233333333333334,7.4826818,2005,62494,12/31/2005,2005,5.08797897806466,5.374,-45.798,140.401,15.675999999999998,4.94781618281488,0.0,4.05,0.0,2.298,-9.123,0.0,37.8883,8721,12,7.148,-16.271,2.72438276238977,3.6346423569999997,0.760199958,0.23378892,0.0,2000.0,6.141673898666506,7.73,239.15599999999998,154.563,28.88,5.043128298679522,3.039844848172312,0.0,0.0,14.12,127.958,0.0,302.6595,22.74,105.21799999999999,0.0,5.712608411000001,0.333355564,0.651117288,6.141673899,5.087978978,5.25,91653,61894,0.001189,0.00048300000000000003,22813391,5.9096797226840545,0.0,0.0,0,0
5,101593,PCLN,9/26/2000,10/7/2007,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,5/3/2007,-0.2010244,-1.1894254,-2.1764936,2000,2007,-54.16,0.0,5,80.33333333333333,7.787382099999999,2007,119314,12/31/2007,2007,7.208493744566519,15.949000000000002,579.107,0.013999999999999999,37.5,6.3452784020321475,5.156194890303707,0.0,-54.16,31.55,-81.843,0.0,4418.7791,7370,12,402.417,-484.26,6.473526432485383,8.393618715,0.421803656,3.271095587,0.0,2000.0,5.273399478585074,37.32,4.072,0.0,15.825,0.0,0.0,0.0,0.0,0.0,51.926,0.0,231.4568,172.489,-120.56299999999999,0.0,5.444393247000001,0.0,1.186483355,5.273399479,7.208493745,57.5,894574,37890,0.0038880000000000004,0.004325,127991701,8.125033479826804,0.0,0.0,0,0
6,101644,PLMD,11/17/2000,9/5/2007,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,5/9/2007,3.1474637000000003,2.68706794,2.6607738,2000,2007,-31.52,0.0,5,78.8,7.7681103,2007,25000,3/31/2007,2006,6.1684510645205055,10.135,161.916,238.71099999999998,24.346999999999998,5.478616045369931,4.158539274264098,4.7,-1.5330000000000001,12.307,117.86,0.0,961.5683,5961,3,120.86200000000001,-3.002,4.232438447496563,6.868565597000001,0.501658826,2.0139833609999997,0.0,2000.0,5.306106948822866,8.912,158.65,0.0,5.22,0.0,3.8181298212112136,0.0,0.0,9.617,82.98,0.0,297.3653,71.959,11.020999999999999,3.0534821790948947,5.694961349,0.0,1.475289734,5.306106949,6.168451065,41.64,117474,22716,0.0036850000000000003,0.0032229999999999997,26847914,7.07487388433303,0.0,8.0,0,0
7,101711,XRX,7/27/2000,1/14/2009,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,3/27/2008,3.90275433,-3.3968171999999996,-3.6828752000000002,2000,2008,-489.0,0.0,3,85.16666666666667,7.8458076,2008,11636,12/31/2008,2008,10.018912253951546,206.0,6238.0,7422.0,663.0,9.101752431559284,7.454141078146678,0.0,-160.0,194.0,2700.0,0.0,6892.2727,7374,12,3548.1,-783.0,8.23031079913502,8.838156163999999,0.399652515,0.307046496,0.0,2000.0,10.291297725405572,452.0,3493.0,12299.808,948.0,9.628664250590825,6.905753276311464,0.0,0.0,0.0,3073.0,0.0,3092.164,3098.0,1633.0,0.0,8.036626448,0.625106022,0.104908024,10.29129773,10.01891225,14.97,6742000,917568,-0.010131999999999999,-0.01146,624920312,6.523652728199348,22.0,49.0,1,1
8,101721,KO,3/6/2000,10/21/2008,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,7/3/2008,-1.9299210999999998,1.0466193000000001,1.03890893,2000,2008,-14.0,0.0,7,85.16666666666667,7.8458076,2008,3144,12/31/2008,2008,10.598258414212172,1551.0,14546.0,2781.0,1066.0,8.085178748074537,7.893572073504902,3.18,0.0,718.0,-108.425,0.0,38762.8366,2086,12,-56.653,308.0,8.23031079913502,10.56521725,0.080110565,2.583090402,0.0,2000.0,9.944341546544393,733.0,9316.0,835.0,465.0,6.752270376141742,8.001019961323651,0.0,-27.691999999999997,608.0,-65.025,0.0,28139.37,-188.0,675.0,7.472500744737558,10.24492494,0.041086685,3.6003897639999995,9.944341547,10.59825841,51.48,7453700,1373479,-0.002414,0.001094,1294629800,6.323204126998342,25.0,36.0,1,1
9,101759,AMZN,10/30/2000,11/10/2005,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,3/10/2005,-6.3294657,5.42436968,4.93108231,2000,2005,-27.0,0.0,3,53.06666666666667,7.3727465,2005,64768,12/31/2005,2005,8.215006432761575,204.0,246.0,1521.0,118.0,7.329093736246592,6.142037405587356,3.9,-33.0,12.0,1000.0,0.0,19614.4,5961,12,918.9960000000001,81.00399999999999,5.655977824708061,9.884019269,0.41233766200000005,3.271095587,0.0,2000.0,7.6663010794386475,134.75799999999998,4.072,2127.464,406.23199999999997,7.670447645142176,0.0,0.0,0.0,0.0,386.173,0.0,5557.9913,273.243,112.93,0.0,8.622992045,0.649440886,2.6030685630000003,7.666301079,8.215006433,34.91,5874258,409711,-0.00028900000000000003,0.0018559999999999998,1092385349,7.888422223447543,9.0,143.0,1,1
